iter	RMSE
152	7.855726251
153	7.839414091
154	7.835097002
155	7.830830361
156	7.82776526
157	7.82488613
158	7.820845428
159	7.805251374
160	7.802546766
161	7.787197179
162	7.784640938
163	7.77048458
164	7.766714396
165	7.764304472
166	7.760600211
167	7.757688601
168	7.75415328
169	7.740623353
170	7.738526046
171	7.725224027
172	7.721933774
173	7.719911857
174	7.71668725
175	7.714323198
176	7.702017198
177	7.690316281
178	7.68734102
179	7.685571851
180	7.682746345
181	7.681075871
182	7.678267225
183	7.676689753
184	7.665517005
185	7.663568724
186	7.652552283
187	7.649203135
188	7.646022942
189	7.635928139
190	7.632919626
191	7.631460483
192	7.628600374
193	7.627254418
194	7.62453648
195	7.614762121
196	7.613484847
197	7.610891698
198	7.601779594
199	7.59984305
200	7.598600155
201	7.597456754
202	7.588782751
203	7.586704945
204	7.585619079
205	7.577839383
206	7.576032906
207	7.575093694
208	7.573466252
209	7.566659216
210	7.564683661
211	7.556100792
212	7.555286676
213	7.553354107
214	7.552583818
215	7.550749203
216	7.5500199
217	7.542238008
218	7.540851213
219	7.540127506
220	7.532413485
221	7.531728341
222	7.526194326
223	7.519204897
224	7.510450223
225	7.509665539
226	7.509116617
227	7.508407642
228	7.501781025
229	7.501051503
230	7.49985012
231	7.498712008
232	7.498070085
233	7.491808644
234	7.491201462
235	7.4901143
236	7.489264267
237	7.483565112
238	7.477967869
239	7.476999284
240	7.476187268
241	7.4752657
242	7.469993054
243	7.469113501
244	7.464160468
245	7.463555828
246	7.462716583
247	7.461919427
248	7.457155216
249	7.456447777
250	7.451735156
251	7.447385567
252	7.446645328
253	7.442521096
254	7.441816591
255	7.441147161
256	7.440531858
257	7.436535383
258	7.432674015
259	7.429014038
260	7.425544088
261	7.424927054
262	7.421635488
263	7.421047761
264	7.418229832
265	7.415748457
266	7.412653707
267	7.412073042
268	7.408936009
269	7.408429827
270	7.406134785
271	7.403352379
272	7.400714177
273	7.398013448
274	7.395966726
275	7.395016683
276	7.393658303
277	7.392400609
278	7.390036153
279	7.38955829
280	7.387467175
281	7.385214214
282	7.383110336
283	7.381076383
284	7.380829086
285	7.380294092
286	7.379822442
287	7.379408415
288	7.379197768
289	7.377158913
290	7.375325325
291	7.374840728
292	7.37439588
293	7.37263593
294	7.372220156
295	7.370551755
296	7.370168032
297	7.369991252
298	7.369508986
299	7.369342459
300	7.369185226
301	7.368836416
302	7.368689115
303	7.368355353
304	7.368026446
305	7.366344926
306	7.366038592
307	7.365725152
308	7.364211106
309	7.363912949
310	7.363526513
311	7.363401823
312	7.361872701
313	7.361754133
314	7.36149601
315	7.361226194
316	7.359782694
317	7.358914564
318	7.358664646
319	7.358558999
320	7.357254859
321	7.356000707
322	7.354780874
323	7.35362491
324	7.353348074
325	7.352715927
326	7.352011865
327	7.351361342
328	7.350269246
329	7.350172551
330	7.350088387
331	7.349051413
332	7.348457652
333	7.347473769
334	7.347273756
335	7.346280113
336	7.346082007
337	7.345164602
338	7.344685777
339	7.344073047
340	7.343204111
341	7.342283241
342	7.342043171
343	7.341961427
344	7.34188428
345	7.341811458
346	7.341357687
347	7.34128538
348	7.340529594
349	7.340374284
350	7.340308854
351	7.340229713
352	7.340028264
353	7.339963719
354	7.339247812
355	7.338483493
356	7.338068487
357	7.337992835
358	7.337922372
359	7.337867114
360	7.337681395
361	7.337629229
362	7.336906483
363	7.336855426
364	7.336480307
365	7.335864717
366	7.335694512
367	7.33553287
368	7.335482503
369	7.335419071
370	7.335372227
371	7.335276994
372	7.33493321
373	7.334881115
374	7.334232972
375	7.333921003
376	7.333253761
377	7.332960386
378	7.33233045
379	7.332056564
380	7.331465996
381	7.331194428
382	7.330636226
383	7.330140755
384	7.329649508
385	7.32940508
386	7.328926416
387	7.328699865
388	7.328310264
389	7.32827699
390	7.328245396
391	7.327877635
392	7.327847843
393	7.327819537
394	7.327472666
395	7.327250231
396	7.3270527
397	7.326724318
398	7.326698038
399	7.326513782
400	7.326488506
401	7.326288988
402	7.325972016
403	7.325805145
404	7.32571948
405	7.325695914
406	7.325645828
407	7.325471269
408	7.325407204
409	7.325360065
410	7.325316038
411	7.325292579
412	7.325189052
413	7.325148299
414	7.325116729
415	7.324973342
416	7.324949788
417	7.324926365
418	7.324788774
419	7.324611571
420	7.324590291
421	7.32453331
422	7.324371137
423	7.324248813
424	7.324161002
425	7.324077815
426	7.323998992
427	7.323883638
428	7.323865154
429	7.323795213
430	7.323768686
431	7.323702355
432	7.32363946
433	7.323501841
434	7.323443287
435	7.323428065
436	7.323372519
437	7.32331983
438	7.32321789
439	7.323040792
440	7.322755846
441	7.322709456
442	7.322687949
443	7.322643926
444	7.322376364
445	7.322218953
446	7.322177581
447	7.322138315
448	7.321887496
449	7.321850886
450	7.321816138
451	7.321579941
452	7.321559897
453	7.321523493
454	7.321489634
455	7.32140896
456	7.321376457
457	7.321151738
458	7.321095052
459	7.321062879
460	7.321031564
461	7.320819377
462	7.32079057
463	7.320762779
464	7.32071316
465	7.320544388
466	7.320412684
467	7.320387011
468	7.320362634
469	7.320342911
470	7.320319746
471	7.320301379
472	7.320279369
473	7.320267939
474	7.32025063
475	7.320229719
476	7.320213281
477	7.320159891
478	7.320098003
479	7.319910211
480	7.319890419
481	7.319848851
482	7.319652961
483	7.319569539
484	7.319517403
485	7.31943233
486	7.319248186
487	7.319202168
488	7.319187156
489	7.319013342
490	7.318998264
491	7.318952575
492	7.318876187
493	7.318713071
494	7.318698603
495	7.318633706
496	7.318600023
497	7.318534606
498	7.318381284
499	7.318359762
